"c_name","source","r_id","r_year","r_month","r_female","p_interest","p_economy","Econ_Dem","Dec_Dem","Eff_Dem","Comp_Dem"
"Tunisia","Arab Barometer Wave VII",211614,2021,10,0,"Uninterested","Bad","Agree","Agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211615,2021,10,0,"Very interested","Bad","Strongly agree","Disagree","Agree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",211616,2021,10,0,"Interested","Very bad","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",211617,2021,11,0,"Very uninterested","Good",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211618,2021,10,1,"Very uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211619,2021,10,1,"Very uninterested","Good","Agree","Agree","Disagree","Agree"
"Tunisia","Arab Barometer Wave VII",211620,2021,10,0,"Uninterested","Very bad","Strongly disagree","Disagree","Agree",NA
"Tunisia","Arab Barometer Wave VII",211621,2021,11,1,"Uninterested","Very bad","Agree","Agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211622,2021,11,0,"Uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211623,2021,10,0,"Interested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211624,2021,10,0,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211625,2021,11,0,"Very uninterested","Very bad","Agree","Agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211626,2021,10,0,"Very interested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211627,2021,10,1,"Uninterested","Bad","Agree","Agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211628,2021,10,1,"Interested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211629,2021,10,1,"Very uninterested","Bad","Strongly agree","Strongly agree",NA,"Agree"
"Tunisia","Arab Barometer Wave VII",211630,2021,10,1,"Uninterested","Very good","Disagree","Disagree","Disagree","Agree"
"Tunisia","Arab Barometer Wave VII",211631,2021,10,0,"Interested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211632,2021,11,0,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211633,2021,10,0,"Very interested","Very bad","Disagree","Disagree","Disagree","Agree"
"Tunisia","Arab Barometer Wave VII",211634,2021,10,0,"Very uninterested","Bad","Strongly disagree","Strongly disagree","Strongly disagree",NA
"Tunisia","Arab Barometer Wave VII",211635,2021,10,1,"Very uninterested","Bad","Disagree","Strongly agree","Agree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",211636,2021,11,0,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211637,2021,10,1,"Very uninterested","Very bad","Disagree","Disagree","Strongly agree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",211638,2021,10,0,"Very uninterested","Good","Disagree","Strongly agree","Agree","Strongly disagree"
"Tunisia","Arab Barometer Wave VII",211639,2021,10,0,"Uninterested","Good","Agree","Agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211640,2021,10,1,"Uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211641,2021,10,1,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211642,2021,11,0,"Very uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211643,2021,10,0,"Uninterested","Very bad","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",211644,2021,10,1,"Uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211645,2021,10,1,"Very uninterested","Bad","Agree","Agree","Disagree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",211646,2021,11,1,"Very uninterested","Very bad","Strongly agree","Strongly agree","Agree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",211647,2021,10,1,"Uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211648,2021,10,1,"Uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211649,2021,10,1,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211650,2021,10,0,"Very uninterested","Very bad","Strongly disagree","Strongly disagree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211651,2021,10,1,"Interested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211652,2021,10,1,"Uninterested","Bad","Strongly agree","Disagree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211653,2021,11,1,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211654,2021,11,1,"Uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211655,2021,10,0,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211656,2021,10,1,"Very interested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211657,2021,10,0,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211658,2021,11,0,"Interested","Good",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211659,2021,10,1,"Interested","Very bad",NA,NA,"Strongly agree","Agree"
"Tunisia","Arab Barometer Wave VII",211660,2021,11,0,"Interested","Very bad","Disagree","Disagree","Disagree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",211661,2021,11,1,"Uninterested","Bad","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Tunisia","Arab Barometer Wave VII",211662,2021,10,0,"Uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211663,2021,11,0,"Very uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211664,2021,10,0,"Uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211665,2021,10,0,"Very uninterested","Very bad","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree"
"Tunisia","Arab Barometer Wave VII",211666,2021,11,1,"Very uninterested","Very bad","Agree","Agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211667,2021,10,1,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211668,2021,11,1,"Very uninterested","Very bad","Disagree","Disagree","Disagree",NA
"Tunisia","Arab Barometer Wave VII",211669,2021,10,1,"Very uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211670,2021,10,1,"Interested","Bad","Strongly agree","Agree","Agree","Agree"
"Tunisia","Arab Barometer Wave VII",211671,2021,10,0,"Very uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211672,2021,11,0,"Uninterested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211673,2021,10,0,"Very interested","Bad","Disagree","Agree","Agree","Strongly disagree"
"Tunisia","Arab Barometer Wave VII",211674,2021,10,1,"Very uninterested","Very bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211675,2021,10,1,"Interested","Bad",NA,NA,NA,NA
"Tunisia","Arab Barometer Wave VII",211676,2021,11,1,"Uninterested","Bad","Agree","Agree","Agree","Agree"
